category,model,url
direct-cool-refrigerator,MFC-C1G-GDNE-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c1g-gdne-xx
direct-cool-refrigerator,MFC-C1G-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c1g-gdxx-xx
direct-cool-refrigerator,MFC-C1G-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c1g-gdxx-xx-inverter
direct-cool-refrigerator,MFC-C1G-NXXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c1g-nxxx-xx
direct-cool-refrigerator,MFC-C1B-CRXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfc-c1b-crxx-xx
direct-cool-refrigerator,|<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator
direct-cool-refrigerator,<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator
direct-cool-refrigerator,1,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator
direct-cool-refrigerator,>,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=3
direct-cool-refrigerator,MFE-C1B-ELNX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-elnx-xx
direct-cool-refrigerator,MFE-C1B-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-gdel-xx
direct-cool-refrigerator,MFE-C1B-GDEL-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-gdel-xx-inverter
direct-cool-refrigerator,MFE-C1B-GDEN-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-gden-xx
direct-cool-refrigerator,MFE-C1B-GDEN-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-gden-xx-inverter
direct-cool-refrigerator,MFE-C1B-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-gdxx-xx
direct-cool-refrigerator,MFE-C1B-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-gdxx-xx-inverter
direct-cool-refrigerator,MFE-C0N-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c0n-gdel-xx
direct-cool-refrigerator,MFE-C0N-GDEL-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c0n-gdel-xx-inverter
direct-cool-refrigerator,MFE-C0N-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c0n-gdxx-xx
direct-cool-refrigerator,MFE-C0N-GDXX-XX (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c0n-gdxx-xx-inverter
